major_id,major_name,soc_codes,occupation_titles
business-administration-and-management,Business Administration & Management,11-1021.00,General and Operations Managers
accounting,Accounting,13-2011.00,Accountants and Auditors
finance,Finance,13-2051.00 / 13-2052.00,Financial and Investment Analysts + Personal Financial Advisors
marketing,Marketing,13-1161.00 / 11-2021.00,Market Research Analysts and Marketing Specialists + Marketing Managers
human-resources-management,Human Resources Management,11-3121.00 / 13-1071.00,Human Resources Managers + Human Resources Specialists
international-business,International Business,13-1111.00,Management Analysts
supply-chain-and-logistics-mgmt,Supply Chain & Logistics Mgmt.,13-1081.00 / 11-3071.04,Logisticians + Supply Chain Managers
entrepreneurship,Entrepreneurship,11-1011.00,Chief Executives
hospitality-and-tourism-mgmt,Hospitality & Tourism Mgmt.,11-9081.00 / 11-9051.00,Lodging Managers + Food Service Managers
real-estate,Real Estate,41-9021.00 / 41-9022.00,Real Estate Brokers + Real Estate Sales Agents
actuarial-science,Actuarial Science,15-2011.00,Actuaries
nursing-bsn,Nursing (BSN),29-1141.00,Registered Nurses
public-health,Public Health,21-1091.00 / 19-5011.00,Health Education Specialists + Occupational Health and Safety Specialists
health-administration,Health Administration,11-9111.00,Medical and Health Services Managers
athletic-training,Athletic Training,29-9091.00,Athletic Trainers
nutrition-and-dietetics,Nutrition & Dietetics,29-1031.00,Dietitians and Nutritionists
health-sciences-pre-professional,Health Sciences (Pre-Professional),21-1091.00,Health Education Specialists
radiologic-and-diagnostic-tech,Radiologic & Diagnostic Tech.,29-2034.00,Radiologic Technologists and Technicians
speech-language-pathology-pre-grad,Speech-Language Pathology (Pre-Grad),29-1127.00,Speech-Language Pathologists
occupational-therapy-pre-grad,Occupational Therapy (Pre-Grad),29-1122.00,Occupational Therapists
computer-science,Computer Science,15-1252.00,Software Developers
information-technology,Information Technology,15-1244.00 / 15-1211.00,Network and Computer Systems Administrators + Computer Systems Analysts
cybersecurity,Cybersecurity,15-1212.00,Information Security Analysts
data-science,Data Science,15-2051.00,Data Scientists
software-engineering,Software Engineering,15-1252.00 / 15-1253.00,Software Developers + Software Quality Assurance Analysts and Testers
game-design-and-development,Game Design & Development,15-1255.01,Video Game Designers
mechanical-engineering,Mechanical Engineering,17-2141.00,Mechanical Engineers
civil-engineering,Civil Engineering,17-2051.00,Civil Engineers
electrical-engineering,Electrical Engineering,17-2071.00,Electrical Engineers
computer-engineering,Computer Engineering,17-2061.00,Computer Hardware Engineers
chemical-engineering,Chemical Engineering,17-2041.00,Chemical Engineers
biomedical-engineering,Biomedical Engineering,17-2031.00,Bioengineers and Biomedical Engineers
industrial-and-systems-engineering,Industrial & Systems Engineering,17-2112.00,Industrial Engineers
aerospace-engineering,Aerospace Engineering,17-2011.00,Aerospace Engineers
environmental-engineering,Environmental Engineering,17-2081.00,Environmental Engineers
materials-science-and-engineering,Materials Science & Engineering,17-2131.00,Materials Engineers
architecture,Architecture,17-1011.00,"Architects, Except Landscape and Naval"
general-engineering,General Engineering,17-2141.00 / 17-2051.00 / 17-2112.00,Mechanical Engineers + Civil Engineers + Industrial Engineers
biology-general,Biology (General),19-1029.04,Biologists
biochemistry,Biochemistry,19-1021.00,Biochemists and Biophysicists
neuroscience,Neuroscience,19-1042.00,"Medical Scientists, Except Epidemiologists"
microbiology,Microbiology,19-1022.00,Microbiologists
genetics,Genetics,19-1029.03,Geneticists
marine-biology,Marine Biology,19-1023.00,Zoologists and Wildlife Biologists
physics,Physics,19-2012.00,Physicists
chemistry,Chemistry,19-2031.00,Chemists
