O*NET-SOC Code,Title,dv_rating_alpha,dv_rating_beta,dv_rating_gamma,human_rating_alpha,human_rating_beta,human_rating_gamma
11-1011.00,Chief Executives,0.1,0.46,0.8200000000000001,0.18,0.35,0.52
11-1011.03,Chief Sustainability Officers,0.16666666666666666,0.5555555555555556,0.9444444444444444,0.05555555555555555,0.38888888888888884,0.7222222222222222
11-1021.00,General and Operations Managers,0.0,0.4807692307692308,0.9615384615384616,0.11538461538461539,0.38461538461538464,0.6538461538461539
11-1031.00,Legislators,0.03333333333333333,0.4,0.7666666666666666,0.26666666666666666,0.5166666666666666,0.7666666666666666
11-2011.00,Advertising and Promotions Managers,0.0,0.47674418604651164,0.9534883720930233,0.2558139534883721,0.5465116279069767,0.8372093023255813
11-2021.00,Marketing Managers,0.0625,0.5,0.9375,0.21875,0.578125,0.9375
11-2022.00,Sales Managers,0.0,0.45,0.9,0.1,0.48333333333333334,0.8666666666666667
11-2032.00,Public Relations Managers,0.15000000000000002,0.55,0.9500000000000001,0.25,0.5750000000000001,0.9
11-2033.00,Fundraising Managers,0.125,0.5625,1.0,0.25,0.5,0.75
11-3012.00,Administrative Services Managers,0.08695652173913043,0.3913043478260869,0.6956521739130435,0.2608695652173913,0.5,0.7391304347826086
11-3013.00,Facilities Managers,0.0,0.3181818181818182,0.6363636363636364,0.09090909090909091,0.2727272727272727,0.4545454545454546
11-3013.01,Security Managers,0.07142857142857142,0.4821428571428571,0.8928571428571428,0.25,0.5357142857142857,0.8214285714285714
11-3021.00,Computer and Information Systems Managers,0.12121212121212122,0.5303030303030303,0.9393939393939394,0.30303030303030304,0.5606060606060607,0.8181818181818182
11-3031.00,Financial Managers,0.0,0.48148148148148145,0.9629629629629629,0.037037037037037035,0.42592592592592593,0.8148148148148148
11-3031.01,Treasurers and Controllers,0.0,0.47368421052631576,0.9473684210526315,0.15789473684210525,0.40789473684210525,0.6578947368421052
11-3031.03,Investment Fund Managers,0.0,0.5,1.0,0.17142857142857143,0.5285714285714286,0.8857142857142857
11-3051.00,Industrial Production Managers,0.06060606060606061,0.48484848484848486,0.9090909090909092,0.15151515151515152,0.3484848484848485,0.5454545454545454
11-3051.01,Quality Control Systems Managers,0.07547169811320754,0.5094339622641509,0.9433962264150944,0.18867924528301885,0.4716981132075472,0.7547169811320754
11-3051.02,Geothermal Production Managers,0.2,0.48333333333333334,0.7666666666666666,0.13333333333333333,0.3833333333333333,0.6333333333333333
11-3051.03,Biofuels Production Managers,0.0,0.2857142857142857,0.5714285714285714,0.07142857142857142,0.17857142857142855,0.2857142857142857
11-3051.04,Biomass Power Plant Managers,0.03125,0.328125,0.625,0.125,0.28125,0.4375
11-3051.06,Hydroelectric Production Managers,0.05714285714285714,0.34285714285714286,0.6285714285714286,0.11428571428571428,0.3142857142857143,0.5142857142857142
11-3061.00,Purchasing Managers,0.22857142857142856,0.5857142857142857,0.9428571428571428,0.11428571428571428,0.4714285714285714,0.8285714285714285
11-3071.00,"Transportation, Storage, and Distribution Managers",0.03571428571428571,0.4821428571428571,0.9285714285714285,0.17857142857142855,0.4732142857142857,0.7678571428571428
11-3071.04,Supply Chain Managers,0.0,0.4909090909090909,0.9818181818181818,0.14545454545454545,0.4727272727272727,0.7999999999999999
11-3111.00,Compensation and Benefits Managers,0.13157894736842105,0.513157894736842,0.894736842105263,0.18421052631578946,0.4605263157894737,0.7368421052631579
11-3121.00,Human Resources Managers,0.04,0.48,0.92,0.14,0.45,0.76
11-3131.00,Training and Development Managers,0.09090909090909091,0.5,0.9090909090909092,0.045454545454545456,0.4772727272727273,0.9090909090909092
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",0.04081632653061224,0.36734693877551017,0.6938775510204082,0.1020408163265306,0.24489795918367344,0.3877551020408163
11-9021.00,Construction Managers,0.044444444444444446,0.4444444444444445,0.8444444444444444,0.2,0.4,0.6
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",0.0625,0.46875,0.875,0.28125,0.515625,0.75
11-9032.00,"Education Administrators, Kindergarten through Secondary",0.01818181818181818,0.41818181818181815,0.8181818181818181,0.2727272727272727,0.45454545454545453,0.6363636363636364
11-9033.00,"Education Administrators, Postsecondary",0.024390243902439025,0.43902439024390244,0.8536585365853658,0.34146341463414637,0.475609756097561,0.6097560975609756
11-9041.00,Architectural and Engineering Managers,0.0,0.4714285714285714,0.9428571428571428,0.11428571428571428,0.3857142857142857,0.6571428571428571
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,0.10344827586206896,0.41379310344827586,0.7241379310344828,0.0,0.27586206896551724,0.5517241379310345
11-9051.00,Food Service Managers,0.0625,0.41666666666666663,0.7708333333333333,0.1875,0.3958333333333333,0.6041666666666666
11-9071.00,Gambling Managers,0.3235294117647059,0.5735294117647058,0.8235294117647058,0.2647058823529412,0.4852941176470588,0.7058823529411764
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",0.1764705882352941,0.3529411764705882,0.5294117647058824,0.23529411764705882,0.38235294117647056,0.5294117647058824
11-9081.00,Lodging Managers,0.043478260869565216,0.45652173913043476,0.8695652173913043,0.2608695652173913,0.3804347826086956,0.5
11-9111.00,Medical and Health Services Managers,0.0,0.42857142857142855,0.8571428571428571,0.11428571428571428,0.37142857142857144,0.6285714285714286
11-9121.00,Natural Sciences Managers,0.13333333333333333,0.5666666666666667,1.0,0.36666666666666664,0.5666666666666667,0.7666666666666666
11-9121.01,Clinical Research Coordinators,0.15254237288135591,0.5254237288135593,0.8983050847457628,0.22033898305084745,0.4661016949152542,0.711864406779661
11-9121.02,Water Resource Specialists,0.04878048780487805,0.5,0.951219512195122,0.14634146341463417,0.4268292682926829,0.7073170731707318
